#,Category,Disease,Key Symptoms,Primary Medicine(s),Frequency per Day,Time,Duration (Days),Precautions / Notes
1,Infectious Diseases,Influenza,"Fever, chills, body aches, fatigue, cough, sore throat, runny nose",Oseltamivir (Tamiflu) 75mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),5,"Rest, hydration, avoid contact with others; annual flu vaccine recommended"
2,Infectious Diseases,COVID-19,"Fever, dry cough, fatigue, loss of taste/smell, breathlessness",Nirmatrelvir/Ritonavir (Paxlovid) 300mg/100mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),5,"Isolation, mask use, hydration, monitor O2 saturation; vaccination strongly advised"
3,Infectious Diseases,Tuberculosis,"Persistent cough >3 weeks, hemoptysis, night sweats, weight loss, fever",Isoniazid + Rifampicin + Pyrazinamide + Ethambutol (HRZE),1x/day,8:00 AM (Morning),180 (6 months),Complete full course; DOT (Directly Observed Therapy) recommended; avoid alcohol
4,Infectious Diseases,Pneumonia,"High fever, productive cough, chest pain, dyspnea, fatigue",Amoxicillin-Clavulanate 875mg OR Azithromycin 500mg,2x/day (Amox) / 1x/day (Azithro),8:00 AM (Morning) & 9:00 PM (Night),7–14,"Rest, hydration, follow-up chest X-ray; hospitalize if SpO2 <94%"
5,Infectious Diseases,Malaria,"Cyclical fever, chills, sweating, headache, vomiting, anemia",Artemether + Lumefantrine (Coartem) 20/120mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),3,"Avoid mosquito exposure, use nets and repellents; test before treatment"
6,Infectious Diseases,Dengue Fever,"High fever, severe headache, retro-orbital pain, rash, myalgia, thrombocytopenia",No antiviral; Paracetamol 500mg for fever,3–4x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7,AVOID Aspirin/NSAIDs (bleeding risk); monitor platelets; IV fluids if needed
7,Infectious Diseases,Typhoid Fever,"Sustained fever, abdominal pain, rose spots, constipation/diarrhea, headache",Ceftriaxone 2g IV OR Azithromycin 1g oral,1x/day,8:00 AM (Morning),10–14,"Boil drinking water, hand hygiene; typhoid vaccine available"
8,Infectious Diseases,Cholera,"Profuse watery diarrhea ('rice water'), vomiting, rapid dehydration",ORS (Oral Rehydration Salts) + Doxycycline 300mg (single dose),Continuous ORS / Single dose antibiotic,Continuous (administered throughout the day),3–5,Strict water/food hygiene; IV fluids for severe cases; cholera vaccine
9,Infectious Diseases,Hepatitis B,"Jaundice, fatigue, abdominal pain, dark urine, nausea",Tenofovir 300mg OR Entecavir 0.5mg (chronic phase),1x/day,8:00 AM (Morning),Long-term / lifelong,Avoid alcohol; hepatitis B vaccine for contacts; monitor liver function
10,Infectious Diseases,Hepatitis C,"Fatigue, jaundice, right upper quadrant pain, dark urine",Sofosbuvir + Velpatasvir (Epclusa) 400/100mg,1x/day,8:00 AM (Morning),84 (12 weeks),Avoid alcohol; no vaccine available; screen close contacts
11,Infectious Diseases,HIV/AIDS,"Acute: flu-like illness; Chronic: weight loss, recurrent infections, night sweats",ART: Tenofovir + Emtricitabine + Efavirenz (TDF/FTC/EFV),1x/day,8:00 AM (Morning),Lifelong,"Condom use, no needle sharing, PrEP for prevention; regular CD4/viral load monitoring"
12,Infectious Diseases,Syphilis,"Primary: painless chancre; Secondary: rash, flu-like; Tertiary: organ damage",Benzathine Penicillin G 2.4 million units IM,Single dose (primary/secondary); 3 doses weekly (tertiary),8:00 AM (Morning) (one-time dose),1 / 21,Partner notification and treatment; avoid sexual contact until healed
13,Infectious Diseases,Gonorrhea,"Urethral/vaginal discharge, dysuria, pelvic pain; often asymptomatic in women",Ceftriaxone 500mg IM + Azithromycin 1g oral,Single dose,8:00 AM (Morning) (one-time dose),1,Treat partner simultaneously; screen for co-infections; avoid unprotected sex
14,Infectious Diseases,Chlamydia,"Often asymptomatic; dysuria, discharge, pelvic inflammatory disease",Azithromycin 1g OR Doxycycline 100mg,Single dose / 2x/day,8:00 AM (Morning) (one-time dose),1 / 7,Treat partner; abstain from sex for 7 days post-treatment
15,Infectious Diseases,Leprosy,"Hypopigmented skin patches, loss of sensation, peripheral nerve thickening",Dapsone 100mg + Rifampicin 600mg + Clofazimine 50mg (MDT),Daily (monthly supervised Rifampicin),"8:00 AM (Morning) (daily, supervised monthly)",180–365 (PB) / 730 (MB),Complete full MDT course; prevent disability; educate family; notify contacts
16,Infectious Diseases,Meningitis,"Sudden severe headache, stiff neck, photophobia, fever, petechial rash",Ceftriaxone 2g IV,2x/day,8:00 AM (Morning) & 9:00 PM (Night),10–14,Medical emergency; meningococcal vaccine; prophylaxis for close contacts (Rifampicin)
17,Infectious Diseases,Tetanus,"Muscle rigidity, trismus (lockjaw), spasms, autonomic dysfunction",Metronidazole 500mg + Tetanus Immunoglobulin (TIG) 3000–6000 IU,3x/day (Metro) / Single dose (TIG),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",10–14,Wound debridement; ICU care often needed; tetanus vaccine (TT/Tdap) prevention
18,Infectious Diseases,Whooping Cough (Pertussis),"Paroxysmal cough with inspiratory 'whoop', post-tussive vomiting, cyanosis","Azithromycin 500mg (day 1), then 250mg",1x/day,8:00 AM (Morning),5,Isolate patient; DTaP/Tdap vaccination; prophylaxis for household contacts
19,Infectious Diseases,Ringworm,"Circular scaly itchy rash with clear center, hair loss (scalp)",Clotrimazole 1% cream OR Terbinafine 1% cream (topical),2x/day,8:00 AM (Morning) & 9:00 PM (Night),14–28,Keep area dry; avoid sharing personal items; wash clothing/bedding
20,Infectious Diseases,Candidiasis,"White patches (oral), vaginal itching/discharge, skin rash in folds",Fluconazole 150mg (systemic) OR Clotrimazole pessary (vaginal),Single dose / 1x/day,8:00 AM (Morning) (one-time dose),1 / 7,Keep skin dry; manage blood sugar in diabetics; probiotics may help
21,Cardiovascular Diseases,Hypertension,"Headache, dizziness, blurred vision, nosebleeds (often asymptomatic)",Amlodipine 5–10mg OR Enalapril 5–10mg,1x/day,8:00 AM (Morning),Long-term,"Low-sodium diet (<2g/day), exercise, reduce alcohol, monitor BP daily"
22,Cardiovascular Diseases,Coronary Artery Disease,"Chest pain/tightness, exertional dyspnea, palpitations, fatigue",Aspirin 75mg + Atorvastatin 40mg + Bisoprolol 5mg,1x/day each,8:00 AM (Morning),Long-term,"Smoking cessation, cardiac diet, regular exercise, stress management"
23,Cardiovascular Diseases,Heart Failure,"Dyspnea, orthopnea, bilateral leg edema, fatigue, reduced exercise tolerance",Furosemide 40mg + Enalapril 5mg + Carvedilol 3.125mg,1–2x/day,8:00 AM (Morning),Long-term,"Fluid restriction (<1.5L/day), daily weight monitoring, low-sodium diet"
24,Cardiovascular Diseases,Atrial Fibrillation,"Palpitations, irregular pulse, dyspnea, dizziness, fatigue",Bisoprolol 5mg + Rivaroxaban 20mg (anticoagulation),1x/day,8:00 AM (Morning),Long-term,Avoid caffeine/alcohol triggers; monitor INR if on Warfarin; fall precautions
25,Cardiovascular Diseases,Deep Vein Thrombosis,"Unilateral leg swelling, redness, warmth, calf pain",Rivaroxaban 15mg (initial) then 20mg,2x/day (first 3wks) then 1x/day,8:00 AM (Morning) & 9:00 PM (Night),21 days then 90+ days,"Leg elevation, compression stockings, early ambulation, hydration"
26,Cardiovascular Diseases,Pulmonary Embolism,"Sudden dyspnea, pleuritic chest pain, hemoptysis, tachycardia, hypoxia",Heparin IV (initial) then Rivaroxaban 15mg,Continuous IV / 2x/day oral,Continuous (administered throughout the day),3–6 months,Medical emergency; absolute rest initially; anticoagulation compliance critical
27,Cardiovascular Diseases,Hyperlipidemia,"Usually asymptomatic; may cause xanthelasma, corneal arcus",Atorvastatin 20–40mg OR Rosuvastatin 10–20mg,1x/day (evening),6:00 PM (Evening),Long-term,"Low-fat diet, regular exercise, avoid trans fats, monitor LFTs"
28,Cardiovascular Diseases,Angina,"Chest pressure/tightness on exertion, jaw/arm radiation, relieved by rest",GTN (Glyceryl Trinitrate) sublingual spray + Bisoprolol 5mg,PRN (GTN) / 1x/day (Bisoprolol),As needed (PRN) — typically Morning or Night when symptoms occur,PRN / Long-term,"Avoid triggers, carry GTN always, seek ER if pain >20 min (possible MI)"
29,Cardiovascular Diseases,Peripheral Artery Disease,"Claudication, leg pain at rest, non-healing ulcers, cold extremities",Aspirin 75mg + Clopidogrel 75mg + Atorvastatin 40mg,1x/day each,8:00 AM (Morning),Long-term,"Smoking cessation (critical), wound care, supervised walking program"
30,Cardiovascular Diseases,Myocardial Infarction (post-treatment),"Post-MI: fatigue, reduced exercise capacity (acute: crushing chest pain)",Aspirin 75mg + Atorvastatin 40mg + Bisoprolol 5mg + Ramipril 5mg,1x/day each,8:00 AM (Morning),Long-term / lifelong,"Cardiac rehab, smoking cessation, dietary changes, psychological support"
31,Respiratory Diseases,Asthma,"Wheeze, breathlessness, chest tightness, nocturnal cough",Salbutamol (SABA) inhaler 100mcg + Beclomethasone (ICS) 200mcg,PRN (rescue) / 2x/day (preventer),As needed (PRN) — typically Morning or Night when symptoms occur,PRN / Long-term,"Avoid triggers (dust, smoke, allergens); have rescue inhaler always; annual review"
32,Respiratory Diseases,COPD,"Progressive dyspnea, chronic productive cough, wheeze, reduced exercise tolerance",Tiotropium (LAMA) 18mcg inhaler + Salbutamol PRN,1x/day (Tio) + PRN,8:00 AM (Morning),Long-term,Smoking cessation (most important); pulmonary rehab; annual influenza vaccine
33,Respiratory Diseases,Allergic Rhinitis,"Sneezing, nasal congestion, watery rhinorrhea, itchy eyes/nose",Cetirizine 10mg + Fluticasone nasal spray 50mcg/spray,1x/day + 2 sprays/nostril 1x/day,8:00 AM (Morning),Seasonal or long-term,Avoid allergens; saline nasal irrigation; allergy testing may guide treatment
34,Respiratory Diseases,Sinusitis,"Facial pain/pressure, nasal congestion, purulent discharge, headache",Amoxicillin-Clavulanate 875mg (if bacterial) + Fluticasone spray,2x/day + 1x/day,8:00 AM (Morning) & 9:00 PM (Night),7–10 (antibiotic) / 21 (spray),"Steam inhalation, saline rinses, avoid cold air; most cases viral – no antibiotics"
35,Respiratory Diseases,Bronchitis,"Productive cough, low-grade fever, wheeze, chest discomfort",Usually supportive: Paracetamol 500mg + Salbutamol inhaler (if wheeze),3x/day + PRN,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",7–10,"Hydration, humidifier, honey-lemon; antibiotics only if bacterial superinfection"
36,Respiratory Diseases,Pulmonary Hypertension,"Dyspnea on exertion, fatigue, syncope, right heart failure signs",Sildenafil 20mg OR Bosentan 125mg (specialist-initiated),3x/day / 2x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term,"Avoid high altitude, excessive exertion; O2 supplementation; specialist follow-up"
37,Respiratory Diseases,Cystic Fibrosis,"Chronic productive cough, recurrent lung infections, malabsorption, failure to thrive",Ivacaftor/Lumacaftor (Orkambi) + Dornase alfa (nebulized),2x/day + 1x/day,8:00 AM (Morning) & 9:00 PM (Night),Lifelong,"Chest physiotherapy, high-calorie diet, enzyme supplements, annual reviews"
38,Respiratory Diseases,Interstitial Lung Disease,"Progressive dyspnea, dry cough, bilateral crackles, finger clubbing",Pirfenidone 267mg (IPF) OR Nintedanib 150mg,3x/day / 2x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term,"Pulmonary rehab, O2 therapy, avoid lung toxins; lung transplant evaluation"
39,Respiratory Diseases,Sleep Apnea,"Loud snoring, witnessed apneas, daytime somnolence, morning headache",CPAP therapy (primary) + Weight loss; Modafinil 200mg (if residual sleepiness),Nightly CPAP + 1x/day (if Modafinil),9:00 PM (Night) (nightly),Long-term,"Weight reduction, positional therapy, avoid alcohol/sedatives before bed"
40,Respiratory Diseases,Tuberculous Pleurisy,"Fever, pleuritic chest pain, dyspnea, pleural effusion on imaging",Isoniazid + Rifampicin + Pyrazinamide + Ethambutol (same as TB),1x/day,8:00 AM (Morning),180 (6 months),Same as pulmonary TB; therapeutic thoracocentesis if large effusion; pyridoxine supplement
41,Endocrine & Metabolic Disorders,Type 1 Diabetes,"Polydipsia, polyuria, weight loss, fatigue, DKA in acute cases",Insulin (Basal: Glargine 10-30U) + (Bolus: Aspart/Lispro per meal),1x/day (basal) + 3x/day with meals,8:00 AM (Morning),Lifelong,"Carbohydrate counting, glucose monitoring, sick-day rules, hypoglycemia management kit"
42,Endocrine & Metabolic Disorders,Type 2 Diabetes,"Often asymptomatic early; polyuria, fatigue, blurred vision, recurrent infections",Metformin 500–1000mg + lifestyle modification,2x/day (with meals),8:00 AM (Morning) & 9:00 PM (Night),Long-term,"Low glycemic index diet, regular exercise, weight loss, monitor HbA1c every 3 months"
43,Endocrine & Metabolic Disorders,Hypothyroidism,"Fatigue, weight gain, cold intolerance, constipation, bradycardia, dry skin",Levothyroxine 50–100mcg,"1x/day (morning, fasting)","6:30 AM (Early Morning, fasting)",Lifelong,Take 30–60 min before breakfast; avoid calcium/iron supplements within 4 hours; monitor TSH
44,Endocrine & Metabolic Disorders,Hyperthyroidism,"Weight loss, palpitations, heat intolerance, tremor, exophthalmos (Graves')",Carbimazole 10–20mg OR Propylthiouracil 100mg,3x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",18–24 months,Avoid iodine-rich foods; monitor thyroid function; consider radioiodine/surgery for relapse
45,Endocrine & Metabolic Disorders,Cushing Syndrome,"Moon face, central obesity, purple striae, hypertension, hyperglycemia",Ketoconazole 200mg (medical management) or surgical if adenoma,2–3x/day,8:00 AM (Morning) & 9:00 PM (Night),As per specialist,Investigate cause (exogenous vs endogenous); taper exogenous steroids gradually
46,Endocrine & Metabolic Disorders,Addison Disease,"Fatigue, hyperpigmentation, hypotension, weight loss, salt craving",Hydrocortisone 20mg/day + Fludrocortisone 0.1mg,2–3x/day (Hydrocort) / 1x/day (Fludro),8:00 AM (Morning) & 9:00 PM (Night),Lifelong,Carry steroid emergency card; sick-day rules (double dose); medical alert bracelet
47,Endocrine & Metabolic Disorders,PCOS,"Irregular periods, hirsutism, acne, weight gain, infertility",Metformin 500mg + Combined OCP (for regulation) + Spironolactone (hirsutism),2x/day / 1x/day / 1x/day,8:00 AM (Morning) & 9:00 PM (Night),Long-term,"Weight loss (5–10% improves symptoms), low GI diet, regular exercise"
48,Endocrine & Metabolic Disorders,Osteoporosis,"Often asymptomatic; fragility fractures (wrist, hip, vertebra), back pain",Alendronate 70mg (weekly) + Calcium 1000mg + Vitamin D3 1000IU,Weekly / 1x/day / 1x/day,8:00 AM (Morning) (once weekly),Long-term,"Weight-bearing exercise, fall prevention, adequate protein intake, avoid smoking/alcohol"
49,Endocrine & Metabolic Disorders,Gout,"Sudden severe joint pain (often big toe), redness, swelling, warmth",Indomethacin 50mg (acute) OR Colchicine 0.5mg; Allopurinol 100–300mg (prevention),3x/day (acute) / 2–3x/day / 1x/day (prevention),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Acute: 5–7 / Prevention: Long-term,"Low-purine diet (avoid red meat, alcohol, seafood), adequate hydration (>2L/day)"
50,Endocrine & Metabolic Disorders,Obesity,"BMI >30, dyspnea on exertion, sleep apnea, joint pain, psychosocial impact",Orlistat 120mg (with meals) OR Semaglutide 0.5–2.4mg (weekly),3x/day (Orlistat) / Weekly injection,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term,"Caloric deficit diet, regular exercise (150+ min/week), behavioral therapy, sleep hygiene"
51,Gastrointestinal Diseases,GERD,"Heartburn, regurgitation, belching, dysphagia, nocturnal cough, hoarseness",Omeprazole 20mg OR Pantoprazole 40mg,1x/day (30 min before breakfast),"7:00 AM (Morning, before breakfast)",4–8 weeks (then PRN),"Avoid lying down after meals, elevate bed head, avoid trigger foods (coffee, spicy, fatty)"
52,Gastrointestinal Diseases,Peptic Ulcer Disease,"Epigastric pain (hunger pain / night pain), bloating, nausea, hematemesis",Triple therapy: Omeprazole 20mg + Amoxicillin 1g + Clarithromycin 500mg,2x/day each (if H. pylori +ve),8:00 AM (Morning) & 9:00 PM (Night),14 (H. pylori) then PPI 4–8 wks,"Avoid NSAIDs, aspirin, alcohol, smoking; test and treat H. pylori"
53,Gastrointestinal Diseases,Gastritis,"Epigastric discomfort, nausea, bloating, loss of appetite",Pantoprazole 40mg + Antacid (Aluminium hydroxide + Mg hydroxide),1x/day + 3x/day (after meals & bedtime),8:00 AM (Morning),4–6 weeks,"Avoid NSAIDs, alcohol, spicy food, coffee; small frequent meals"
54,Gastrointestinal Diseases,IBS,"Abdominal pain, bloating, alternating diarrhea/constipation, mucus in stool",Mebeverine 135mg (antispasmodic) + Loperamide (IBS-D) OR Ispaghula (IBS-C),3x/day before meals,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term (symptom-guided),"Low-FODMAP diet, stress management, regular mealtimes, probiotic trial"
55,Gastrointestinal Diseases,Crohn's Disease,"Abdominal cramping, chronic diarrhea (may be bloody), weight loss, perianal disease",Mesalazine 800mg (mild) OR Azathioprine 2mg/kg/day (moderate),3x/day / 1x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term,No smoking (worsens Crohn's); regular colonoscopy; nutrition support if malnourished
56,Gastrointestinal Diseases,Ulcerative Colitis,"Bloody diarrhea, tenesmus, urgency, cramping, fatigue, anemia",Mesalazine 1.2g + Prednisolone (flare) 40mg,3x/day + 1x/day (taper),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Maintenance long-term / Prednisolone 4–6 wks,Regular colonoscopy for cancer screening; stress management; avoid NSAIDs
57,Gastrointestinal Diseases,Constipation,"Infrequent stools (<3/week), straining, hard stools, incomplete evacuation",Lactulose 15ml OR Bisacodyl 5mg (short-term) OR Ispaghula husk,2x/day / 1x/day (bedtime),8:00 AM (Morning) & 9:00 PM (Night),Short-term (then dietary adjustment),"High-fiber diet, 2L water daily, regular exercise, respond to urge promptly"
58,Gastrointestinal Diseases,Diarrhea,"Loose watery stools, abdominal cramps, nausea, risk of dehydration",ORS continuously + Loperamide 2mg (non-bloody) + Zinc 20mg (children),PRN ORS / after each loose stool,As needed (PRN) — typically Morning or Night when symptoms occur,3–5 (or until resolved),AVOID Loperamide in bloody/febrile diarrhea; food hygiene; hand washing
59,Gastrointestinal Diseases,Hemorrhoids,"Rectal bleeding (bright red), perianal itching, prolapse, anal discomfort",Hydrocortisone cream 1% (external) + Lignocaine gel (analgesia),2–3x/day,8:00 AM (Morning) & 9:00 PM (Night),7–14,"High-fiber diet, adequate fluids, avoid straining, sitz baths, weight management"
60,Gastrointestinal Diseases,Pancreatitis,"Severe epigastric pain radiating to back, nausea, vomiting, elevated amylase/lipase",IV fluids + Tramadol 50–100mg (analgesia) + NPO initially then gradual feeding,6-hourly (pain) / Continuous IV fluids,Continuous (administered throughout the day),Acute: 5–10 (hospital-based),Avoid alcohol absolutely; low-fat diet; treat gallstones; monitor blood glucose
61,Neurological Disorders,Epilepsy,"Seizures (tonic-clonic, absence, focal), post-ictal confusion, tongue biting",Sodium Valproate 200–500mg OR Lamotrigine 25–100mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),Lifelong,"Never stop medication abruptly; avoid triggers (alcohol, sleep deprivation); driving restrictions"
62,Neurological Disorders,Migraine,"Unilateral throbbing headache, nausea, photophobia, phonophobia, aura",Sumatriptan 50mg (acute) + Propranolol 40mg (prophylaxis),PRN (max 2 doses/24hr) / 2x/day,As needed (PRN) — typically Morning or Night when symptoms occur,PRN / Long-term,"Identify and avoid triggers (hormones, stress, foods); headache diary; dark quiet room during attack"
63,Neurological Disorders,Parkinson's Disease,"Resting tremor, rigidity, bradykinesia, postural instability, micrographia",Levodopa/Carbidopa 100/25mg + Ropinirole 0.25mg (early),3x/day / 3x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Lifelong,"Physiotherapy, occupational therapy, fall prevention, speech therapy; DBS if advanced"
64,Neurological Disorders,Alzheimer's Disease,"Progressive memory loss, language problems, disorientation, behavioral changes",Donepezil 5–10mg OR Memantine 10mg (moderate-severe),1x/day (evening),6:00 PM (Evening),Lifelong (disease-modifying not yet available),"Cognitive stimulation, safe environment, carer support, advance care planning"
65,Neurological Disorders,Multiple Sclerosis,"Optic neuritis, diplopia, weakness, sensory changes, ataxia, fatigue",Interferon beta-1a 30mcg IM (relapsing) OR Ocrelizumab 600mg IV (PPMS),Weekly injection / Every 6 months IV,8:00 AM (Morning) (once weekly),Lifelong,"Physiotherapy, fatigue management, temperature awareness, psychological support"
66,Neurological Disorders,Neuropathic Pain,"Burning, shooting, electric shock-like pain; allodynia, hyperalgesia",Pregabalin 75mg OR Duloxetine 30mg + Amitriptyline 10mg (adjunct),2x/day / 1x/day / 1x/day (at night),8:00 AM (Morning) & 9:00 PM (Night),Long-term,Pain diary; TENS therapy; address underlying cause; sleep hygiene; psychological support
67,Neurological Disorders,Trigeminal Neuralgia,"Sudden, severe electric shock-like facial pain triggered by chewing/talking/touch",Carbamazepine 100–200mg,3x/day (titrate up slowly),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term,"Avoid triggers (cold wind, chewing hard foods); surgical MVD if medication fails"
68,Neurological Disorders,Restless Legs Syndrome,"Irresistible urge to move legs, worse at rest/evening, creeping/crawling sensations",Pramipexole 0.125mg OR Ropinirole 0.25mg (at night),1x/day (2–3 hrs before sleep),"10:00 PM (Night, before bed)",Long-term,Iron supplementation if ferritin <75; avoid caffeine/alcohol; regular exercise; leg stretches
69,Neurological Disorders,Essential Tremor,"Action tremor (hands), head nodding, voice tremor; worse with voluntary movement",Propranolol 40mg OR Primidone 50mg,2x/day / 1–2x/day,8:00 AM (Morning) & 9:00 PM (Night),Long-term,Avoid caffeine; weighted utensils; avoid stress; alcohol transiently helps but avoid dependency
70,Neurological Disorders,Myasthenia Gravis,"Ptosis, diplopia, dysarthria, dysphagia, proximal limb weakness, fatigable muscle weakness",Pyridostigmine 60mg + Prednisolone 20–60mg (immunosuppression),4–6x/day / 1x/day,"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed)",Lifelong,"Avoid aminoglycosides, beta-blockers, fluoroquinolones (worsen MG); myasthenic crisis management"
71,Mental Health Disorders,Depression,"Persistent low mood, anhedonia, fatigue, sleep disturbance, hopelessness, suicidal ideation",Sertraline 50mg OR Fluoxetine 20mg,1x/day (morning),8:00 AM (Morning),Minimum 6 months (first episode),"Psychotherapy (CBT), regular exercise, social support, safety plan if SI; adequate sleep"
72,Mental Health Disorders,Generalized Anxiety Disorder,"Excessive worry, tension, restlessness, fatigue, sleep disturbance, irritability",Sertraline 50mg OR Escitalopram 10mg + Buspirone 5mg,1x/day + 3x/day,8:00 AM (Morning),6–12 months,"CBT (gold standard), mindfulness, regular exercise, limit caffeine; relaxation techniques"
73,Mental Health Disorders,Bipolar Disorder,"Mania: elevated mood, decreased need for sleep; Depression: low mood, hopelessness; psychosis",Lithium 400mg OR Valproate 500mg (mood stabilizer),2–3x/day,8:00 AM (Morning) & 9:00 PM (Night),Lifelong,Monitor lithium levels; avoid alcohol; regular sleep schedule; early warning sign recognition
74,Mental Health Disorders,Schizophrenia,"Hallucinations, delusions, disorganized thinking, negative symptoms (alogia, avolition)",Risperidone 2–6mg OR Olanzapine 10mg,1–2x/day,8:00 AM (Morning),Lifelong,Medication adherence is critical; psychoeducation; community mental health support; occupational therapy
75,Mental Health Disorders,OCD,Intrusive unwanted thoughts (obsessions) + repetitive behaviors (compulsions) to reduce anxiety,Sertraline 100–200mg OR Fluvoxamine 100–300mg,1–2x/day,8:00 AM (Morning),12+ months,ERP (Exposure and Response Prevention) therapy is most effective; avoid OCD-accommodating behaviors
76,Mental Health Disorders,Panic Disorder,"Recurrent unexpected panic attacks: palpitations, sweating, trembling, derealization, fear of dying","Sertraline 50mg (maintenance) + Clonazepam 0.25mg (acute, short-term)",1x/day / PRN,8:00 AM (Morning),6–12 months / Short-term only,"CBT (panic-focused), breathing exercises, avoid caffeine; benzodiazepine dependence risk"
77,Mental Health Disorders,PTSD,"Flashbacks, nightmares, hypervigilance, avoidance, emotional numbing, sleep disturbance",Sertraline 50–200mg OR Paroxetine 20–60mg,1x/day,8:00 AM (Morning),12+ months,"Trauma-focused CBT, EMDR therapy; avoid substance use; safety and stability first"
78,Mental Health Disorders,ADHD,"Inattention, hyperactivity, impulsivity, poor organization, forgetfulness, low frustration tolerance",Methylphenidate 5–10mg OR Atomoxetine 40–80mg,2–3x/day (Methyl) / 1x/day (Atomoxetine),8:00 AM (Morning) & 9:00 PM (Night),Long-term (reassess annually),"Behavioral therapy, structured routines, classroom/work accommodations; monitor growth in children"
79,Mental Health Disorders,Insomnia,"Difficulty falling/staying asleep, early awakening, daytime fatigue, impaired functioning","Melatonin 2–5mg (short-term) OR Zolpidem 5mg (short-term only, max 2 weeks)",1x/day (30 min before bed),"10:00 PM (Night, before bed)",Short-term (2–4 weeks),"CBT-I (gold standard); sleep hygiene (no screens, regular schedule); avoid caffeine after 2pm"
80,Mental Health Disorders,Social Anxiety Disorder,"Fear of social situations, blushing, trembling, sweating, avoidance, anticipatory anxiety",Sertraline 50mg OR Escitalopram 10mg + Propranolol 10–20mg (situational),1x/day / PRN before social events,8:00 AM (Morning),6–12+ months,CBT with exposure therapy; graduated exposure hierarchy; social skills training
