#,Category,Disease,Key Symptoms,Primary Medicine(s),Frequency per Day,Time,Duration (Days),Precautions / Notes
145,"Ear, Nose & Throat Disorders",Laryngitis,"Hoarseness, aphonia, dry cough, sore/scratchy throat, odynophagia; low-grade fever (infective)",Supportive: Paracetamol 500mg + steam inhalation; Omeprazole if LPR related,3–4x/day (Paracetamol),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",7–10,"Voice rest (do not whisper); stay hydrated; avoid irritants (smoking, alcohol); humidified air; ENT if >3 weeks"
146,"Ear, Nose & Throat Disorders",Tonsillitis,"Sore throat, dysphagia, swollen tonsils with exudate, fever, cervical lymphadenopathy",Amoxicillin 500mg (bacterial/Group A Strep) OR Clarithromycin (if penicillin allergic) + Paracetamol,3x/day / 2x/day / PRN,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",10 (antibiotic) / PRN (Paracetamol),AVOID Ampicillin/Amoxicillin if mononucleosis suspected (causes rash); tonsillectomy if recurrent (≥7/yr)
147,"Ear, Nose & Throat Disorders",Pharyngitis,"Sore throat, odynophagia, fever, pharyngeal erythema; mostly viral",Paracetamol 500mg + Benzydamine spray (topical analgesic) / Amoxicillin if Centor score ≥3,3–4x/day / 3x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7 (antibiotic only if bacterial),Gargle warm salt water; adequate hydration; throat swab to guide antibiotic use (avoid overuse)
148,"Ear, Nose & Throat Disorders",Nasal Polyps,"Bilateral nasal obstruction, anosmia, rhinorrhea, post-nasal drip; associated with asthma/aspirin sensitivity",Mometasone furoate nasal spray 200mcg/day + Dupilumab 300mg SC (if biologic eligible),2 sprays/nostril 1x/day / Biweekly injection,8:00 AM (Morning) (once weekly),Long-term (spray) / 16+ weeks (Dupilumab),Avoid aspirin/NSAIDs (if NSAID-exacerbated respiratory disease); saline irrigation; surgical polypectomy if unresponsive
149,"Ear, Nose & Throat Disorders",Epiglottitis,"Medical emergency: rapid onset high fever, stridor, drooling, dysphagia, 'tripod' posture, muffled voice",Ceftriaxone 2g IV + Dexamethasone 0.1–0.6mg/kg IV (airway protection),1–2x/day IV,8:00 AM (Morning),7–10 (IV antibiotics in ICU),DO NOT examine throat without airway support; secure airway first; Hib vaccine prevention
150,"Ear, Nose & Throat Disorders",Vestibular Neuritis,"Sudden severe vertigo, nausea/vomiting, gait instability; no hearing loss; follows viral URTI","Prochlorperazine 5mg (acute vestibular sedative) + Prednisolone 50mg (early, if within 72hrs)",3x/day (Prochlorperazine short-term) / 1x/day (Prednisolone tapering),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",3–5 days (vestibular sedative); 3 weeks (Prednisolone taper),Vestibular rehabilitation exercises (Cawthorne-Cooksey); early mobilization; fall precautions; avoid driving during acute phase
151,Skin Disorders,Rosacea,"Facial flushing, persistent erythema, papulopustules, telangiectasia, rhinophyma (late); triggered by sun/heat/alcohol",Metronidazole 0.75% gel + Azelaic acid 15% gel (topical) / Doxycycline 40mg (papulopustular),2x/day (topical) / 1x/day (Doxycycline),8:00 AM (Morning) & 9:00 PM (Night),8–12 weeks,"Sun protection (SPF50+ daily); avoid triggers (heat, alcohol, spicy food); gentle skincare; laser for erythema/telangiectasia"
152,Skin Disorders,Seborrheic Dermatitis,"Greasy yellowish scales on scalp/face/nasolabial folds, itching, erythema, dandruff","Ketoconazole 2% shampoo/cream + Hydrocortisone 1% cream (face, short-term)",2–3x/week (shampoo) / 2x/day (cream),8:00 AM (Morning) & 9:00 PM (Night) (primary medicine); see notes for others,4 weeks (then maintenance),Maintenance use 1–2x/month to prevent recurrence; avoid harsh soaps; stress management
153,Skin Disorders,Vitiligo,"Depigmented white patches (hands, face, genitalia, bony prominences); cosmetically distressing; no systemic symptoms",Tacrolimus 0.1% ointment (face/folds) OR Clobetasol 0.05% cream (body) + Ruxolitinib 1.5% cream (newer topical JAK-i),2x/day,8:00 AM (Morning) & 9:00 PM (Night),3–6 months (assess response),Strict sun protection of depigmented areas (burn easily); cosmetic camouflage; NB-UVB phototherapy; psychological support
154,Skin Disorders,Hidradenitis Suppurativa,"Recurrent painful nodules/abscesses in axillae/groin/inframammary areas, sinus tracts, scarring","Clindamycin 1% lotion (topical, mild) + Doxycycline 100mg (oral, moderate) / Adalimumab 40mg (severe, biologic)",2x/day (topical) / 2x/day (Doxy) / Biweekly SC (Adalimumab),8:00 AM (Morning) & 9:00 PM (Night),Long-term,Weight loss; stop smoking (significant trigger); warm compresses; antiseptic washes; surgical drainage if abscess
155,Skin Disorders,Impetigo,Honey-colored crusted lesions (non-bullous) or fluid-filled bullae (bullous) around face/extremities,Fusidic acid 2% cream (localized) OR Flucloxacillin 500mg (extensive/systemic),3x/day (topical) / 4x/day (oral),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7,Keep lesions covered; good hand hygiene; avoid school/work until crusts cleared; clean shared items
156,Skin Disorders,Cellulitis,"Unilateral spreading erythema, warmth, swelling, tenderness, fever; usually lower limbs",Flucloxacillin 500mg (mild-moderate) OR Amoxicillin-Clavulanate 625mg / Benzylpenicillin IV (severe),4x/day / 3x/day,"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed)",7–14 (oral) / 5–7 (IV then step down),Mark erythema border to monitor spread; elevate limb; moisturize to prevent fissures; treat tinea pedis as portal
157,Skin Disorders,Scabies,"Intense nocturnal pruritus, burrows (finger webs/wrists/genitalia), papular rash, secondary infection",Permethrin 5% cream (from neck down) + Oral Ivermectin 200mcg/kg (if extensive/crusted),Single application (repeat at 7 days) / Single dose (repeat at 14 days),"8:00 AM (Morning) (application, repeat as scheduled)",Two applications 1 week apart,Treat all household contacts simultaneously; wash all clothing/bedding at 60°C; vacuum furniture
158,Skin Disorders,Urticaria,"Transient itchy wheals (hives), angioedema, dermographism; acute <6 weeks / chronic >6 weeks",Cetirizine 10mg OR Fexofenadine 180mg (non-sedating first-line) / Omalizumab 300mg (chronic refractory),1x/day / Monthly SC (Omalizumab),8:00 AM (Morning),Acute: short-term; Chronic: long-term,Identify and avoid triggers; adrenaline auto-injector if risk of anaphylaxis; avoid aspirin/NSAIDs/ACE-inhibitors
159,Skin Disorders,Contact Dermatitis,"Erythema, vesicles, weeping, pruritus at site of contact (allergic) or irritant exposure; clear borders",Hydrocortisone 1% cream (mild) OR Betamethasone valerate 0.1% (moderate-severe) + Emollient,2x/day (steroid) / 3–4x/day (emollient),8:00 AM (Morning) & 9:00 PM (Night),1–2 weeks (steroid) / Long-term (emollient),Identify and avoid causative allergen/irritant; patch testing; protective gloves; barrier cream
160,Skin Disorders,Alopecia Areata,Well-circumscribed patches of non-scarring hair loss; exclamation mark hairs at patch margins; nail pitting,Intralesional Triamcinolone 10mg/mL (patches) OR Topical Minoxidil 5% + Baricitinib 4mg (severe),Every 4–6 weeks (injection) / 2x/day (Minoxidil) / 1x/day (Baricitinib),8:00 AM (Morning) (on scheduled dosing day),6–12 months (then reassess),Psychological support; wigs/hairpieces; avoid mechanical trauma; spontaneous remission possible in 50%
161,Women's Health Disorders,Endometriosis,"Severe dysmenorrhea, dyspareunia, chronic pelvic pain, dyschezia, infertility, menorrhagia",Combined OCP (continuous) OR Norethindrone acetate 5mg / Dienogest 2mg + NSAID (pain),1x/day (hormonal) / PRN (NSAID),8:00 AM (Morning),Long-term,Laparoscopic diagnosis/treatment; pain diary; physiotherapy; surgical excision for severe disease/infertility
162,Women's Health Disorders,Uterine Fibroids,"Menorrhagia, pelvic pressure, urinary frequency/urgency, dysmenorrhea, subfertility",Tranexamic acid 1g (menorrhagia) + Ulipristal acetate (Esmya) 5mg OR GnRH agonist (Leuprorelin) pre-surgery,3x/day during menses / 1x/day (3 months),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5 days (Tranexamic) / 3 months (hormonal),Iron supplementation for anemia; NSAIDs for pain; myomectomy/hysterectomy if severe; uterine artery embolization
163,Women's Health Disorders,Pelvic Inflammatory Disease,"Lower abdominal pain, fever, cervical motion tenderness, mucopurulent discharge, dyspareunia",Ceftriaxone 500mg IM (single) + Doxycycline 100mg + Metronidazole 400mg,Single IM / 2x/day + 2x/day,8:00 AM (Morning) & 9:00 PM (Night) (primary medicine); see notes for others,14 days (Doxycycline + Metronidazole),Treat partner; avoid sex until course completed; IUCD removal if not settling; check for chlamydia/gonorrhea
164,Women's Health Disorders,Menorrhagia,"Heavy menstrual bleeding (>80ml/cycle), prolonged periods >7 days, flooding, passage of clots",Tranexamic acid 1g + Mefenamic acid 500mg (during menses) / Levonorgestrel-IUS (Mirena) long-term,3x/day each (during period) / IUS long-term,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5 days per cycle / 5 years (Mirena),"Iron supplementation; treat underlying cause (fibroids, PCOS, coagulation disorders); endometrial biopsy if >40yrs"
165,Women's Health Disorders,PMDD,"Severe mood swings, irritability, depression, anxiety, bloating, breast tenderness, fatigue premenstrually",Sertraline 50mg (continuous or luteal phase only) OR Combined OCP (Drospirenone-containing),1x/day,8:00 AM (Morning),Cyclical or long-term,Symptom diary (2+ cycles to confirm); regular exercise; calcium 1200mg/day supplements; CBT
166,Women's Health Disorders,Vaginitis,"Vaginal discharge (colour/odour varies by cause), itching, burning, odour",Metronidazole 400mg (BV) OR Clotrimazole pessary (Candida) OR Doxycycline (atrophic: Estradiol cream),2x/day (Metro) / Single dose (Clotrimazole),8:00 AM (Morning) & 9:00 PM (Night),7 (BV) / Single (Candida),Microscopy/pH testing to confirm cause; avoid douching; cotton underwear; treat partner for Trichomonas
167,Women's Health Disorders,Vulvovaginal Candidiasis,"Thick white cottage-cheese discharge, intense vulval itching, burning, dyspareunia, erythema",Clotrimazole 500mg pessary (single) OR Fluconazole 150mg oral,Single dose (pessary or oral),8:00 AM (Morning) (one-time dose),1–3 days,Avoid tight synthetic clothing; control blood sugar (diabetics); probiotics; recurrent (>4/yr) needs prophylactic fluconazole
168,Women's Health Disorders,Menopausal Symptoms,"Hot flushes, night sweats, vaginal dryness, mood changes, sleep disturbance, urinary symptoms",HRT: Estradiol patch 50mcg + Norethisterone 1mg (if uterus intact) / Vagifem vaginal tablets,Twice weekly patch + 1x/day oral / Vagifem 1x/day initially,8:00 AM (Morning) (once weekly),Long-term (review annually),Annual breast exam/mammogram; bone density monitoring; SSRIs (Venlafaxine) if HRT contraindicated; lifestyle measures
169,Women's Health Disorders,Dysmenorrhea,"Crampy lower abdominal pain at start of menstruation, radiation to back/thighs, nausea, diarrhea",Ibuprofen 400mg OR Mefenamic acid 500mg (start 1–2 days before period),3x/day (with food),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",3–5 days per cycle,"Heat application (hot water bottle); regular exercise; exclude secondary causes (endometriosis, fibroids); OCP effective for primary dysmenorrhea"
170,Women's Health Disorders,Infertility (certain causes),"Inability to conceive after 12 months unprotected intercourse; PCOS, ovulatory dysfunction, hypothyroidism causes",Clomifene citrate 50–100mg (ovulation induction – PCOS/anovulation) OR Letrozole 2.5–5mg,1x/day on days 2–6 of cycle (Clomifene) / 1x/day (Letrozole),8:00 AM (Morning),"5 days per cycle, up to 6 cycles",Optimize BMI; treat thyroid/hormonal disorders; folate 400mcg/day; lifestyle modification; referral for IUI/IVF
171,Pediatric Disorders,"Hand, Foot and Mouth Disease","Fever, oral ulcers, vesicular rash on hands/feet/buttocks; mainly in children <5 years; Coxsackievirus","Supportive: Paracetamol/Ibuprofen (fever/pain) + Oral gel (e.g., Lidocaine gel) for oral ulcers",3–4x/day as needed,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7,Isolate from school/daycare; hand hygiene; cool fluids/ice lollies; monitor hydration; no specific antiviral
172,Pediatric Disorders,Croup,"Barking ('seal-like') cough, inspiratory stridor, hoarseness, low-grade fever; worse at night; under 5 years",Dexamethasone 0.15–0.6mg/kg oral (single dose) + Nebulized Budesonide (moderate-severe) / Nebulized Adrenaline (severe),Single dose (Dexa) / Once (Budesonide) / Repeat PRN (Adrenaline),8:00 AM (Morning) (one-time dose),1–3,Cool mist/night air; calm the child (agitation worsens stridor); emergency if severe respiratory distress
173,Pediatric Disorders,RSV Infection,"Runny nose, cough, wheeze, tachypnea, feeding difficulty, hypoxia; severe in infants <6 months",Supportive: Nasal saline drops + Suction + Paracetamol + Oxygen if SpO2 <92%,PRN feeds/suctioning / 4x/day Paracetamol,As needed (PRN) — typically Morning or Night when symptoms occur,5–10,Palivizumab prophylaxis for high-risk infants; hand hygiene; breastfeeding protective; no bronchodilators in infants
174,Pediatric Disorders,Scarlet Fever,"Sandpaper rash (trunk first), strawberry tongue, pharyngitis, fever, circumoral pallor, Pastia's lines",Amoxicillin 50mg/kg/day OR Phenoxymethylpenicillin + Paracetamol (fever),3x/day (Amoxicillin) / PRN (Paracetamol),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",10,Notifiable disease; exclude from school for 24 hrs after starting antibiotics; treat to prevent rheumatic fever/glomerulonephritis
175,Pediatric Disorders,Pinworm Infection,"Perianal/nocturnal itching, disturbed sleep, visible worms around anus at night; irritability",Mebendazole 100mg (>2yrs) OR Albendazole 400mg (single dose; repeat at 2 weeks),"Single dose (x2, 2 weeks apart)",8:00 AM (Morning) (one-time dose),2 doses,Treat ALL household members simultaneously; wash bedding/underwear daily; cut fingernails short; hand hygiene
176,Pediatric Disorders,Kawasaki Disease,"Fever >5 days + 4 of: bilateral conjunctivitis, rash, oral changes (strawberry tongue), cervical lymphadenopathy, hand/foot changes","IVIG 2g/kg IV (single infusion) + Aspirin 30–50mg/kg/day (high dose, then reduce)",Single infusion (IVIG) / 4x/day (Aspirin) then taper,"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed) (primary medicine); see notes for others",IVIG: Single / Aspirin: 6–8 weeks,Echocardiogram to assess coronary aneurysms; monitor ESR/CRP; long-term cardiology follow-up if coronary involvement
177,Pediatric Disorders,Juvenile Idiopathic Arthritis,"Joint swelling/pain/morning stiffness (>6 weeks in children <16yrs); fever, rash (systemic JIA); uveitis risk",Naproxen 5–10mg/kg/dose (NSAIDs) + Methotrexate 10–15mg/m² (disease-modifying) + Etanercept (biologic if refractory),2x/day (Naproxen) / Weekly (MTX) / Weekly SC (Etanercept),8:00 AM (Morning) & 9:00 PM (Night),Long-term,Annual slit-lamp exam (uveitis screening); physiotherapy; occupational therapy; school accommodations; growth monitoring
178,Pediatric Disorders,Febrile Seizures,Brief (<15 min) tonic-clonic seizure with fever in child 6 months–5 years; no CNS infection,Diazepam rectal 5–10mg (if seizure >5 min) / Midazolam buccal 0.3mg/kg + Paracetamol (fever management),PRN (Diazepam – rescue only) / PRN (Paracetamol),As needed (PRN) — typically Morning or Night when symptoms occur,PRN,Lay child on side (recovery position); do NOT restrain; fever management; LP to exclude meningitis if <18 months; parental education
179,Pediatric Disorders,Pediatric Constipation,"Infrequent hard stools (<3/week), straining, painful defecation, abdominal pain, soiling (overflow incontinence)",Macrogol (PEG 4000) 0.5–1g/kg (disimpaction) then maintenance dose + Lactulose 1–3ml/kg,1–2x/day (Macrogol) / 2x/day (Lactulose),8:00 AM (Morning),Disimpaction 7 days then maintenance 3–6 months,"High-fiber diet, adequate fluids (for age), regular toilet routine after meals, positive reinforcement; exclude Hirschsprung's"
180,Pediatric Disorders,Pediatric Asthma,"Wheeze, cough (worse at night/exercise), breathlessness, chest tightness; episodic; triggered by URTI/allergens","Salbutamol 100mcg inhaler (2–4 puffs via spacer, PRN) + Beclomethasone 50–100mcg (preventer)",PRN (Salbutamol) / 2x/day (Beclomethasone),As needed (PRN) — typically Morning or Night when symptoms occur,Preventer: Long-term,Use spacer always; written asthma action plan; trigger avoidance; annual review; influenza vaccine
181,Cancer & Oncology Conditions,Breast Cancer,"Painless breast lump, skin dimpling/peau d'orange, nipple discharge/inversion, axillary lymphadenopathy","Tamoxifen 20mg (premenopausal, hormone receptor +ve) OR Letrozole 2.5mg (postmenopausal) + Chemotherapy (as per protocol)",1x/day (endocrine) / Cyclical IV (chemo),8:00 AM (Morning),5–10 years (endocrine) / 6 cycles (chemo),Breast self-examination; annual mammography; genetic testing (BRCA); bone density monitoring on AI; adherence critical
182,Cancer & Oncology Conditions,Lung Cancer,"Persistent cough, hemoptysis, dyspnea, weight loss, hoarseness, chest pain, Horner's syndrome",Erlotinib/Osimertinib (EGFR+) OR Pembrolizumab (high PD-L1) / Carboplatin + Paclitaxel (chemo),1x/day (oral targeted) / 3-weekly IV cycles,8:00 AM (Morning),Lifelong (targeted) / 4–6 cycles (chemo),Smoking cessation; palliative care integration; nutritional support; CT surveillance; molecular testing before treatment
183,Cancer & Oncology Conditions,Colorectal Cancer,"Change in bowel habit, rectal bleeding, abdominal pain, weight loss, iron-deficiency anemia, tenesmus",Capecitabine 1250mg/m² (adjuvant oral) OR FOLFOX/FOLFIRI (IV regimen) + Bevacizumab (metastatic),2x/day days 1–14 (Cape) / 2-weekly IV cycles,8:00 AM (Morning) & 9:00 PM (Night),6 months (adjuvant) / Continuous until progression,Colonoscopy surveillance post-resection; high-fiber diet; CEA monitoring; genetic testing (Lynch syndrome)
184,Cancer & Oncology Conditions,Prostate Cancer,"Often asymptomatic (early); urinary symptoms, bone pain (metastatic), elevated PSA",Enzalutamide 160mg OR Abiraterone 1000mg + Prednisolone 5mg (CRPC) / Leuprorelin 3-monthly SC (ADT),1x/day (Enza) / 1x/day (Abira) / 3-monthly injection,8:00 AM (Morning),Long-term,"Bone protection (Zoledronic acid, Denosumab); monitor PSA; bone density; cardiovascular risk on ADT"
185,Cancer & Oncology Conditions,Leukemia,"Fatigue, pallor, recurrent infections, bruising/bleeding, lymphadenopathy, bone pain, splenomegaly",Imatinib 400mg (CML) / ATRA + Arsenic trioxide (APL) / R-CHOP (B-cell) / Daunorubicin + Cytarabine (AML induction),1x/day (Imatinib) / Protocol-based IV cycles,8:00 AM (Morning),Lifelong (CML) / Protocol-dependent (others),Infection prevention (neutropenic precautions); mouth care; blood product support; fertility preservation before chemo
186,Cancer & Oncology Conditions,Lymphoma,"Painless lymphadenopathy, B symptoms (fever, night sweats, weight loss), fatigue, pruritus",R-CHOP (rituximab+cyclophosphamide+doxorubicin+vincristine+prednisolone) / ABVD (Hodgkin's),3-weekly cycles (6 cycles standard),8:00 AM (Morning) (once weekly),6 cycles (~18 weeks),Infection prevention; G-CSF support; cardiac monitoring (anthracyclines); surveillance PET-CT; fertility preservation
187,Cancer & Oncology Conditions,Multiple Myeloma,"Bone pain (CRAB: hyperCalcemia, Renal failure, Anemia, Bone lesions), fatigue, recurrent infections",Bortezomib + Lenalidomide + Dexamethasone (VRd) induction / Daratumumab-based (newer),Weekly SC (Bortezomib) + Daily (Len) + Weekly (Dexa) – 4-week cycles,8:00 AM (Morning) (Daily dose); 9:00 PM (Night) (Weekly doses on cycle days),4–6 cycles then maintenance (Lenalidomide),Bone protection (Zoledronic acid); VTE prophylaxis on Lenalidomide; infection prophylaxis; hydration for renal protection
188,Cancer & Oncology Conditions,Ovarian Cancer,"Abdominal bloating/distension, pelvic pain, early satiety, urinary frequency, weight changes, elevated CA-125",Carboplatin AUC5 + Paclitaxel 175mg/m² IV + Bevacizumab (advanced) / Olaparib (BRCA mutated maintenance),3-weekly IV cycles / 1x/day (Olaparib maintenance),8:00 AM (Morning) (once weekly),6 cycles / 2 years (Olaparib),CA-125 and CT monitoring; genetic counseling (BRCA); secondary surgical cytoreduction; nutritional support
189,Cancer & Oncology Conditions,Thyroid Cancer,"Neck lump, dysphagia, hoarseness, cervical lymphadenopathy; most are well-differentiated papillary",Levothyroxine (TSH suppression: 0.1–0.5 mU/L) post-thyroidectomy / Radioactive iodine (I-131) ablation,1x/day (Levothyroxine – lifelong),8:00 AM (Morning),Lifelong,Post-RAI diet (low iodine before); annual thyroglobulin and neck ultrasound; Cabozantinib/Sorafenib for advanced
190,Cancer & Oncology Conditions,Melanoma,"Changing mole (ABCDE: Asymmetry, Border irregularity, Color variation, Diameter >6mm, Evolution), bleeding, pruritus",Pembrolizumab 200mg IV (adjuvant/advanced) OR BRAF+: Dabrafenib + Trametinib (targeted therapy),3-weekly IV / 2x/day + 1x/day (targeted),8:00 AM (Morning) (once weekly),1 year (adjuvant Pemb) / Until progression (targeted),Sun protection (SPF50+ always); annual full-body skin exam; dermatoscopy surveillance; sentinel lymph node biopsy
191,"Genetic, Rare & Miscellaneous Disorders",Marfan Syndrome,"Tall stature, arachnodactyly, lens dislocation, aortic root dilation/dissection risk, pectus excavatum, joint hypermobility",Losartan 25–100mg OR Atenolol 25–100mg (aortic root protection),1x/day (Losartan) / 1x/day (Atenolol),8:00 AM (Morning),Lifelong,Annual echo (aortic root monitoring); avoid contact sports/strenuous exercise; ophthalmology follow-up; genetic counseling
192,"Genetic, Rare & Miscellaneous Disorders",Huntington Disease,"Chorea, cognitive decline, psychiatric symptoms (depression, irritability), dysphagia, weight loss; autosomal dominant",Tetrabenazine 12.5–25mg (chorea) + Sertraline (depression) + Clonazepam (anxiety/sleep),2–3x/day / 1x/day / 1x/day (at night),8:00 AM (Morning) & 9:00 PM (Night),Lifelong,No disease-modifying treatment yet; multidisciplinary team care; genetic counseling for family; speech therapy; physiotherapy; advance care planning
193,"Genetic, Rare & Miscellaneous Disorders",ALS,"Progressive limb weakness, fasciculations, dysarthria, dysphagia, respiratory failure; UMN+LMN signs",Riluzole 50mg + Edaravone 60mg IV (infusion cycles) + symptomatic (Baclofen for spasticity),2x/day (Riluzole) / 14-day cycles then 14 days off (Edaravone),8:00 AM (Morning) & 9:00 PM (Night),Lifelong (Riluzole),Multidisciplinary team; PEG (feeding) when dysphagia severe; NIV for respiratory support; advance directives early; palliative care
194,"Genetic, Rare & Miscellaneous Disorders",Fabry Disease,"Acroparesthesia (burning pain in hands/feet), angiokeratomas, hypohidrosis, corneal verticillata, renal/cardiac involvement",Agalsidase beta (Fabrazyme) 1mg/kg IV infusion OR Migalastat 123mg (if amenable mutation),Every 2 weeks (IV) / Every other day (Migalastat),8:00 AM (Morning) (on scheduled dosing day),Lifelong,"Analgesics (carbamazepine) for pain crises; renal monitoring; cardiology; avoid triggers (heat, exercise); genetic counseling"
195,"Genetic, Rare & Miscellaneous Disorders",Gaucher Disease,"Splenomegaly, hepatomegaly, bone pain/crises, anemia, thrombocytopenia; Ashkenazi Jewish association",Imiglucerase (Cerezyme) IV infusion 60U/kg OR Eliglustat 84mg oral (substrate reduction therapy),Every 2 weeks (IV) / 2x/day (oral),8:00 AM (Morning) (on scheduled dosing day),Lifelong,"Monitor CBC, ferritin, chitotriosidase; orthopedic management (bone crises); splenectomy rarely needed now; genetic counseling"
196,"Genetic, Rare & Miscellaneous Disorders",Paget Disease of Bone,"Bone pain, bone deformity (bowed tibia, enlarged skull), warmth over bone, elevated ALP; may be asymptomatic",Zoledronic acid 5mg IV (single infusion – highly effective) OR Risedronate 30mg oral (alternative),Single IV infusion / 1x/day,8:00 AM (Morning) (primary medicine); see notes for others,Single dose (Zoledronic) / 2 months (Risedronate),Calcium 1000mg + Vitamin D 800IU supplementation; hearing assessment (skull involvement); monitor ALP to assess response
197,"Genetic, Rare & Miscellaneous Disorders",Sarcoidosis,"Dyspnea, cough, bilateral hilar lymphadenopathy, erythema nodosum, uveitis, hypercalcemia, fatigue, lupus pernio",Prednisolone 20–40mg (symptomatic disease) + Methotrexate 10–15mg/week (steroid-sparing),1x/day (Prednisolone) / Weekly (MTX),8:00 AM (Morning),6–24 months (most remit),"Many cases remit spontaneously; avoid calcium/vitamin D supplementation (hypercalcemia risk); organ-specific monitoring (lungs, eyes, heart)"
198,"Genetic, Rare & Miscellaneous Disorders",Behçet Disease,"Recurrent oral ulcers (pathognomonic), genital ulcers, uveitis, skin lesions (pseudofolliculitis), arthritis, CNS involvement",Colchicine 0.5–1mg (oral ulcers/arthritis) + Azathioprine 2.5mg/kg/day (systemic) / Infliximab (severe),2x/day (Colchicine) / 1x/day (Azathioprine),8:00 AM (Morning) & 9:00 PM (Night),Long-term,Topical steroids for oral/genital ulcers; ophthalmology for uveitis; anticoagulation for vascular disease; avoid pathergy triggers
199,"Genetic, Rare & Miscellaneous Disorders",Chronic Fatigue Syndrome,"Profound fatigue >6 months not relieved by rest, post-exertional malaise, cognitive impairment ('brain fog'), sleep disturbance, orthostatic intolerance",No curative drug; Low-dose Amitriptyline 10–25mg (sleep/pain) + Melatonin 2mg + Fludrocortisone 0.1mg (if POTS component),1x/day at night (Amitriptyline) / 1x/day (Melatonin) / 1x/day (Fludrocortisone),8:00 AM (Morning),Long-term (individualized),Pacing (energy management – most important); avoid boom-bust cycle; graded activity (not aggressive GET); cognitive support; MDT approach; psychological support
200,"Genetic, Rare & Miscellaneous Disorders",Fibromyalgia,"Widespread musculoskeletal pain, allodynia, fatigue, non-restorative sleep, cognitive difficulties, IBS, headache",Duloxetine 60mg + Pregabalin 75–150mg + Low-dose Amitriptyline 10–25mg (at night),1x/day (Duloxetine) / 2x/day (Pregabalin) / 1x/day at night (Amitriptyline),8:00 AM (Morning),Long-term,Aerobic exercise (most evidence-based intervention); CBT; sleep hygiene; patient education; avoid opioids; multidisciplinary pain management
